fips_code,2023_unemployment_rate,2024_unemployment_rate
13275,3.0,3.2
13277,3.0,3.0
13279,4.0,4.2
13281,3.3,3.4
13283,4.6,4.6
13285,2.8,3.0
13287,3.8,4.2
13289,4.6,4.8
13291,3.6,3.6
13293,3.4,3.4
13295,2.9,3.0
13297,3.0,3.1
13299,4.0,4.3
13301,4.7,4.8
13303,3.9,4.2
13305,3.2,3.4
13307,3.3,3.5
13309,2.8,2.6
13311,2.7,2.9
13313,3.5,3.9
13315,3.3,3.2
13317,3.8,3.8
13319,4.2,4.4
13321,3.2,3.5
15001,3.1,3.0
15003,2.6,2.5
15007,2.5,2.4
15009,4.3,4.1
16001,2.8,3.2
16003,6.6,6.8
16005,3.4,3.9
16007,2.7,3.0
16009,5.5,5.8
16011,3.3,3.5
16013,2.9,3.2
16015,4.2,4.6
16017,4.6,5.3
16019,2.7,3.1
16021,4.9,5.5
16023,4.2,3.5
16025,3.9,4.5
16027,3.2,3.6
16029,3.6,3.5
16031,2.9,3.2
16033,3.9,4.1
16035,5.8,6.3
16037,4.9,5.2
16039,3.8,4.2
16041,2.7,3.1
16043,3.1,3.3
16045,3.5,3.8
16047,3.1,3.2
16049,4.0,4.8
16051,2.5,2.9
16053,3.0,3.3
16055,3.7,4.3
16057,2.6,3.1
16059,4.2,4.4
16061,3.9,4.3
16063,3.7,3.9
16065,2.9,3.6
16067,3.0,3.2
16069,3.0,3.4
16071,3.0,2.8
16073,3.7,4.2
16075,3.9,4.4
16077,3.6,3.3
16079,5.3,5.6
16081,2.4,2.6
16083,3.2,3.4
16085,4.3,4.6
16087,4.4,4.6
17001,3.4,3.6
17003,6.6,6.6
17005,4.6,4.6
17007,6.6,5.9
17009,3.1,3.0
17011,5.7,5.7
17013,4.8,4.6
17015,4.6,4.7
17017,4.3,4.6
17019,4.3,4.3
17021,4.5,4.2
17023,4.6,5.0
17025,5.5,5.1
17027,3.5,3.5
17029,4.0,3.9
17031,4.4,5.3
17033,4.3,4.5
17035,3.5,3.7
17037,4.7,4.7
17039,4.1,4.2
17041,3.7,3.7
17043,3.5,4.3
17045,4.1,4.3
17047,4.2,4.1
17049,3.5,3.8
17051,5.1,5.0
17053,4.4,4.3
17055,5.2,5.2
17057,5.2,4.9
17059,5.5,5.0
17061,4.3,4.0
17063,4.3,5.3
17065,4.6,4.5
17067,3.9,3.9
17069,5.0,5.0
17071,4.5,4.1
17073,5.0,5.2
17075,4.9,4.8
17077,4.9,4.8
17079,3.8,3.9
17081,4.8,4.7
17083,4.0,4.1
17085,4.0,4.2
17087,5.6,5.5
17089,5.0,5.0
17091,5.9,5.7
17093,4.6,4.6
17095,5.5,5.2
17097,5.1,5.1
17099,5.7,5.7
17101,4.8,5.1
17103,5.0,4.9
17105,4.1,4.1
17107,4.6,4.9
17109,4.3,4.3
17111,3.7,4.5
17113,3.7,3.9
17115,6.1,5.8
17117,4.5,4.5
17119,4.2,4.3
17121,5.0,4.9
17123,5.2,4.9
17125,5.0,4.8
17127,4.4,4.2
17129,4.1,4.1
17131,4.8,5.5
17133,3.0,3.1
17135,4.8,4.6
17137,4.3,4.2
17139,3.8,3.7
17141,5.2,5.0
17143,5.4,5.4
17145,5.1,4.9
17147,3.7,3.7
17149,4.8,4.7
17151,5.3,5.3
17153,7.2,6.8
17155,5.5,5.3
17157,4.2,4.3
17159,4.0,3.9
17161,5.2,5.5
17163,4.7,4.7
17165,4.6,4.5
17167,4.4,4.3
17169,4.8,5.3
17171,5.1,5.0
17173,4.1,4.1
17175,5.4,5.1
17177,5.0,4.8
17179,4.4,4.5
17181,5.1,4.7
17183,5.9,5.9
17185,3.8,3.8
17187,4.3,4.5
17189,3.6,3.5
17191,4.1,4.0
17193,4.3,4.4
17195,4.7,4.7
17197,4.2,5.1
17199,4.5,4.5
17201,6.1,5.6
17203,3.9,3.8
18001,3.0,3.8
18003,3.1,3.8
18005,3.2,3.9
18007,2.7,3.3
18009,3.8,4.5
18011,2.6,3.2
18013,3.5,3.8
18015,2.8,3.5
18017,3.7,4.4
18019,3.1,3.7
18021,3.3,3.9
18023,2.9,3.4
18025,3.9,4.7
18027,2.6,3.2
18029,3.3,3.8
18031,3.0,3.7
18033,3.1,3.7
18035,3.8,4.6
18037,2.6,3.2
18039,4.5,4.8
18041,3.7,4.5
18043,3.0,3.6
18045,3.1,3.8
18047,3.1,3.6
18049,3.6,4.3
18051,2.8,3.4
18053,3.7,4.5
18055,3.6,4.3
18057,2.7,3.2
18059,2.8,3.3
18061,3.0,3.7
18063,2.7,3.3
18065,3.6,4.0
18067,5.0,6.6
18069,2.9,3.7
18071,2.9,3.4
18073,3.5,4.1
18075,2.9,3.6
18077,3.2,3.8
18079,3.2,3.6
18081,2.8,3.4
18083,3.0,3.9
18085,3.5,4.3
18087,3.5,3.8
18089,5.0,5.5
18091,3.8,4.5
18093,3.8,4.3
18095,3.6,4.1
18097,3.4,4.1
18099,3.6,4.1
18101,3.0,3.2
18103,3.8,4.8
18105,3.0,3.7
18107,2.7,3.3
18109,3.3,3.8
18111,4.0,4.3
18113,3.7,4.1
18115,3.4,4.0
18117,3.1,3.9
18119,3.3,3.9
18121,3.5,4.1
18123,3.2,3.6
18125,3.5,4.0
18127,3.8,4.3
18129,2.9,3.4
18131,3.0,3.5
18133,3.3,3.9
18135,3.2,4.0
18137,3.2,3.7
18139,3.1,3.6
18141,4.0,4.7
18143,3.8,4.6
18145,3.0,3.6
18147,3.2,3.9
18149,4.5,5.1
18151,3.3,4.0
18153,3.4,4.0
18155,3.6,4.5
18157,2.9,3.7
18159,3.5,4.1
18161,2.8,2.9
18163,3.3,3.9
18165,4.0,4.6
18167,3.6,4.2
18169,3.1,4.0
18171,2.8,3.4
18173,3.0,3.5
18175,3.1,3.7
18177,3.4,4.2
18179,2.7,3.3
18181,3.2,4.0
18183,2.8,3.6
19001,2.5,2.7
19003,2.7,2.5
19005,4.0,3.9
19007,3.7,3.8
19009,2.2,2.3
19011,3.1,3.1
19013,3.1,3.8
19015,2.6,2.8
19017,2.6,3.0
19019,3.0,3.4
19021,2.5,2.7
19023,3.3,3.4
19025,2.5,2.6
19027,2.3,2.2
19029,2.8,2.8
19031,3.1,3.1
19033,3.1,3.0
19035,2.4,2.3
19037,2.4,2.7
