fips_code,state,county,population,poverty_pct,bachelors_pct,median_income,2023_violent_crime,2023_property_crime,2024_violent_crime,2024_property_crime,metro_status,_merge
13245,Georgia,Richmond,206040,21.1,24.1,53197,,,,,,left_only
13249,Georgia,Schley,4539,13.2,19.0,59647,,,,,,left_only
13251,Georgia,Screven,14057,18.1,14.7,53017,,,,,,left_only
13253,Georgia,Seminole,9117,19.0,15.8,49559,,,,,,left_only
13255,Georgia,Spalding,68215,18.7,17.9,60217,,,,,,left_only
13257,Georgia,Stephens,26842,13.9,14.9,52264,,,,,,left_only
13259,Georgia,Stewart,4978,27.8,12.3,35000,,,,,,left_only
13265,Georgia,Taliaferro,1740,21.4,9.9,48036,,,,,,left_only
13269,Georgia,Taylor,7786,29.4,18.1,41743,,,,,,left_only
13271,Georgia,Telfair,12174,31.0,10.1,44948,,,,,,left_only
13273,Georgia,Terrell,8941,33.0,11.5,43812,,,,,,left_only
13279,Georgia,Toombs,26943,19.7,19.5,54130,,,,,,left_only
13281,Georgia,Towns,12739,12.9,32.8,58400,,,,,,left_only
13283,Georgia,Treutlen,6387,25.0,12.8,43750,,,,,,left_only
13295,Georgia,Walker,68449,13.8,20.1,55887,,,,,,left_only
13301,Georgia,Warren,5175,21.8,12.7,46776,,,,,,left_only
13303,Georgia,Washington,19893,15.5,17.5,44009,,,,,,left_only
13305,Georgia,Wayne,30519,20.5,14.0,49562,,,,,,left_only
13307,Georgia,Webster,2348,26.4,11.3,40764,,,,,,left_only
13309,Georgia,Wheeler,7434,21.5,12.2,45262,,,,,,left_only
13315,Georgia,Wilcox,8784,23.1,14.1,48036,,,,,,left_only
13319,Georgia,Wilkinson,8795,20.3,12.7,46673,,,,,,left_only
15001,Hawaii,Hawaii,203684,14.6,30.9,77215,,,,,,left_only
15003,Hawaii,Honolulu,1003666,9.1,37.7,104264,,,,,,left_only
15005,Hawaii,Kalawao,43,31.7,32.6,86250,,,,,,left_only
15007,Hawaii,Kauai,73610,8.8,30.2,93612,,,,,,left_only
15009,Hawaii,Maui,164632,9.8,30.1,95076,,,,,,left_only
16005,Idaho,Bannock,88457,12.2,30.2,64080,,,,,,left_only
16023,Idaho,Butte,2654,21.3,13.8,43281,,,,,,left_only
16025,Idaho,Camas,1155,6.7,27.4,55536,,,,,,left_only
16029,Idaho,Caribou,7118,7.3,15.5,66653,,,,,,left_only
16033,Idaho,Clark,776,12.7,17.3,52083,,,,,,left_only
16035,Idaho,Clearwater,8921,12.5,19.4,57961,,,,,,left_only
16045,Idaho,Gem,19854,10.4,22.3,66245,,,,,,left_only
16059,Idaho,Lemhi,8166,11.8,22.9,52057,,,,,,left_only
16061,Idaho,Lewis,3649,17.4,20.0,49643,,,,,,left_only
16067,Idaho,Minidoka,21922,14.9,16.8,70060,,,,,,left_only
16073,Idaho,Owyhee,12284,13.4,13.7,59773,,,,,,left_only
16077,Idaho,Power,8018,8.1,16.7,59760,,,,,,left_only
17003,Illinois,Alexander,5042,21.0,12.6,43523,,,,,,left_only
17009,Illinois,Brown,6320,8.9,15.1,72288,,,,,,left_only
17021,Illinois,Christian,33684,11.1,16.5,59253,,,,,,left_only
17025,Illinois,Clay,13173,16.7,15.6,57266,,,,,,left_only
17039,Illinois,De Witt,15461,10.1,21.4,64802,,,,,,left_only
17041,Illinois,Douglas,19686,8.9,20.2,74186,,,,,,left_only
17055,Illinois,Franklin,37541,16.9,17.1,53471,,,,,,left_only
17057,Illinois,Fulton,33259,12.6,17.6,58617,,,,,,left_only
17059,Illinois,Gallatin,4857,15.6,15.3,54626,,,,,,left_only
17069,Illinois,Hardin,3623,10.5,12.2,57155,,,,,,left_only
17087,Illinois,Johnson,13350,16.7,18.8,65203,,,,,,left_only
