state,county,2023_violent_crime,2023_property_crime,2024_violent_crime,2024_property_crime,metro_status
California,El Dorado,347.0,1241.0,281.0,786.0,Metro
California,Fresno,1185.0,2952.0,1174.0,2857.0,Metro
California,Imperial,175.0,413.0,108.0,267.0,Metro
California,Kern,3194.0,7863.0,3160.0,7085.0,Metro
California,Kings,116.0,334.0,154.0,401.0,Metro
California,Los Angeles,6268.0,18148.0,5909.0,17982.0,Metro
California,Madera,357.0,908.0,338.0,980.0,Metro
California,Marin,61.0,339.0,79.0,403.0,Metro
California,Merced,389.0,1483.0,365.0,1383.0,Metro
California,Monterey,372.0,742.0,394.0,712.0,Metro
California,Napa,70.0,218.0,74.0,158.0,Metro
California,Orange,327.0,1070.0,423.0,894.0,Metro
California,Placer,543.0,1027.0,357.0,851.0,Metro
California,Riverside,1172.0,6780.0,998.0,5963.0,Metro
California,Sacramento,2749.0,7642.0,2825.0,8631.0,Metro
California,San Benito,62.0,131.0,62.0,133.0,Metro
California,San Diego,1689.0,3831.0,1265.0,2453.0,Metro
California,San Joaquin,824.0,2601.0,776.0,1849.0,Metro
California,San Luis Obispo,705.0,635.0,569.0,566.0,Metro
California,San Mateo,279.0,1839.0,239.0,1630.0,Metro
California,Santa Barbara,291.0,1043.0,298.0,941.0,Metro
California,Santa Clara,308.0,1288.0,274.0,1435.0,Metro
California,Santa Cruz,339.0,899.0,282.0,995.0,Metro
California,Sonoma,303.0,782.0,274.0,745.0,Metro
California,Stanislaus,410.0,1022.0,383.0,878.0,Metro
California,Sutter,126.0,395.0,116.0,383.0,Metro
California,Tulare,686.0,1474.0,703.0,1687.0,Metro
California,Ventura,127.0,569.0,174.0,603.0,Metro
California,Yolo,41.0,233.0,42.0,211.0,Metro
California,Yuba,247.0,547.0,359.0,483.0,Metro
California,Alpine,9.0,10.0,12.0,21.0,Non-Metro
California,Amador,64.0,237.0,82.0,182.0,Non-Metro
California,Calaveras,167.0,500.0,161.0,418.0,Non-Metro
