state,2024_metro_status,county,2024_violent_crime,2024_property_crime
Colorado,Non-Metro,Bent,11.0,90.0
Colorado,Non-Metro,Chaffee,4.0,65.0
Colorado,Non-Metro,Crowley,11.0,29.0
Colorado,Non-Metro,Delta,9.0,108.0
Colorado,Non-Metro,Dolores,8.0,17.0
Colorado,Non-Metro,Eagle,19.0,126.0
Colorado,Non-Metro,Garfield,92.0,170.0
Colorado,Non-Metro,Grand,29.0,50.0
Colorado,Non-Metro,Kiowa,0.0,9.0
Colorado,Non-Metro,Kit Carson,8.0,22.0
Colorado,Non-Metro,Lake,14.0,18.0
Colorado,Non-Metro,La Plata,28.0,130.0
Colorado,Non-Metro,Las Animas,15.0,50.0
Colorado,Non-Metro,Logan,17.0,45.0
Colorado,Non-Metro,Montezuma,29.0,99.0
Colorado,Non-Metro,Montrose,37.0,76.0
Colorado,Non-Metro,Morgan,1.0,62.0
Colorado,Non-Metro,Otero,5.0,41.0
Colorado,Non-Metro,Ouray,4.0,13.0
Colorado,Non-Metro,Phillips,0.0,0.0
Colorado,Non-Metro,Pitkin,5.0,15.0
Colorado,Non-Metro,Prowers,12.0,40.0
Colorado,Non-Metro,Rio Blanco,1.0,11.0
Colorado,Non-Metro,Rio Grande,9.0,6.0
Colorado,Non-Metro,Routt,18.0,42.0
Colorado,Non-Metro,Saguache,8.0,44.0
Colorado,Non-Metro,San Miguel,3.0,2.0
Colorado,Non-Metro,Summit,30.0,150.0
Colorado,Non-Metro,Washington,9.0,43.0
Colorado,Non-Metro,Yuma,3.0,22.0
Delaware,Metro,New Castle County Police Department,692.0,2903.0
Florida,Metro,Alachua,219.0,1205.0
Florida,Metro,Baker,79.0,174.0
Florida,Metro,Bay,246.0,1146.0
Florida,Metro,Brevard,439.0,1790.0
Florida,Metro,Charlotte,207.0,1392.0
Florida,Metro,Clay,437.0,1750.0
Florida,Metro,Collier,571.0,2636.0
Florida,Metro,Flagler,147.0,726.0
Florida,Metro,Hernando,424.0,2109.0
Florida,Metro,Hillsborough,1569.0,6026.0
Florida,Metro,Jacksonville Sheriff's Office,5708.0,26601.0
Florida,Metro,Jefferson,34.0,67.0
Florida,Metro,Lee,1201.0,4575.0
Florida,Metro,Leon,481.0,1751.0
Florida,Metro,Marion,667.0,2370.0
Florida,Metro,Martin,247.0,1163.0
Florida,Metro,Miami-Dade,4838.0,26623.0
Florida,Metro,Nassau,128.0,107.0
Florida,Metro,Palm Beach,1288.0,5926.0
Florida,Metro,Pinellas,386.0,2268.0
Florida,Metro,Polk,1276.0,3095.0
Florida,Metro,Santa Rosa,232.0,878.0
Florida,Metro,Sarasota,349.0,2962.0
Florida,Metro,Seminole,357.0,1453.0
Florida,Metro,Wakulla,56.0,244.0
Florida,Metro,Walton,120.0,399.0
Florida,Metro,Washington,21.0,43.0
Florida,Non-Metro,Columbia,186.0,424.0
Florida,Non-Metro,DeSoto,80.0,286.0
Florida,Non-Metro,Gulf,17.0,51.0
Florida,Non-Metro,Hardee,51.0,177.0
Florida,Non-Metro,Hendry,52.0,102.0
Florida,Non-Metro,Madison,37.0,132.0
Florida,Non-Metro,Monroe,125.0,392.0
Florida,Non-Metro,Okeechobee,116.0,421.0
Florida,Non-Metro,Putnam,41.0,355.0
Florida,Non-Metro,Taylor,53.0,161.0
Georgia,Metro,Barrow,95.0,699.0
Georgia,Metro,Bartow,64.0,922.0
Georgia,Metro,Bibb,1740.0,6280.0
Georgia,Metro,Brooks,10.0,96.0
Georgia,Metro,Bryan,20.0,209.0
Georgia,Metro,Burke ,37.0,181.0
Georgia,Metro,Butts,32.0,119.0
Georgia,Metro,Carroll,97.0,485.0
Georgia,Metro,Catoosa,75.0,204.0
Georgia,Metro,Cherokee,180.0,776.0
Georgia,Metro,Clarke,0.0,0.0
Georgia,Metro,Cobb,36.0,132.0
Georgia,Metro,Cobb County Police Department,1249.0,6816.0
Georgia,Metro,Columbia,107.0,944.0
Georgia,Metro,Coweta,404.0,697.0
Georgia,Metro,Crawford,15.0,108.0
Georgia,Metro,Dade,12.0,59.0
Georgia,Metro,Dawson,50.0,268.0
Georgia,Metro,DeKalb,20.0,0.0
Georgia,Metro,DeKalb County Police Department,4107.0,19854.0
Georgia,Metro,Dougherty,0.0,15.0
Georgia,Metro,Dougherty County Police Department,68.0,277.0
Georgia,Metro,Douglas,229.0,936.0
Georgia,Metro,Effingham,28.0,165.0
Georgia,Metro,Fayette,30.0,208.0
Georgia,Metro,Floyd,2.0,1.0
Georgia,Metro,Floyd County Police Department,152.0,510.0
Georgia,Metro,Forsyth,112.0,953.0
Georgia,Metro,Fulton,14.0,11.0
Georgia,Metro,Fulton County Police Department,23.0,40.0
Georgia,Metro,Glynn County Police Department,281.0,1512.0
Georgia,Metro,Gwinnett,20.0,8.0
Georgia,Metro,Gwinnett County Police Department,1945.0,10415.0
Georgia,Metro,Hall,290.0,1139.0
Georgia,Metro,Haralson,59.0,276.0
Georgia,Metro,Harris,5.0,32.0
Georgia,Metro,Heard,7.0,83.0
Georgia,Metro,Henry,9.0,1.0
Georgia,Metro,Henry County Police Department,473.0,2486.0
Georgia,Metro,Jasper,29.0,119.0
Georgia,Metro,Jones,31.0,156.0
Georgia,Metro,Lanier,11.0,115.0
Georgia,Metro,Lee,35.0,224.0
Georgia,Metro,Lowndes,124.0,830.0
Georgia,Metro,Lumpkin,60.0,132.0
Georgia,Metro,Madison,75.0,194.0
Georgia,Metro,Marion,5.0,26.0
Georgia,Metro,McDuffie,29.0,126.0
Georgia,Metro,McIntosh,12.0,106.0
Georgia,Metro,Meriwether,41.0,123.0
Georgia,Metro,Monroe,9.0,37.0
Georgia,Metro,Murray,18.0,51.0
Georgia,Metro,Newton,303.0,1016.0
Georgia,Metro,Oconee,28.0,511.0
Georgia,Metro,Paulding,412.0,1132.0
Georgia,Metro,Peach,0.0,0.0
Georgia,Metro,Pickens,15.0,172.0
Georgia,Metro,Pike,18.0,68.0
Georgia,Metro,Rockdale,129.0,726.0
Georgia,Metro,Spalding,115.0,434.0
Georgia,Metro,Talbot,9.0,35.0
Georgia,Metro,Twiggs,11.0,69.0
Georgia,Metro,Walton,27.0,181.0
Georgia,Metro,Whitfield,277.0,772.0
Georgia,Metro,Worth,52.0,104.0
Georgia,Non-Metro,Atkinson,13.0,36.0
Georgia,Non-Metro,Baldwin,108.0,437.0
Georgia,Non-Metro,Ben Hill,36.0,64.0
Georgia,Non-Metro,Berrien,25.0,124.0
Georgia,Non-Metro,Bleckley,12.0,85.0
Georgia,Non-Metro,Bulloch,28.0,223.0
Georgia,Non-Metro,Camden,35.0,80.0
Georgia,Non-Metro,Candler,25.0,57.0
Georgia,Non-Metro,Chattooga,30.0,221.0
Georgia,Non-Metro,Clay,10.0,25.0
Georgia,Non-Metro,Clinch,2.0,30.0
Georgia,Non-Metro,Coffee,54.0,300.0
Georgia,Non-Metro,Cook,7.0,90.0
Georgia,Non-Metro,Crisp,32.0,167.0
Georgia,Non-Metro,Decatur,42.0,149.0
Georgia,Non-Metro,Early,8.0,35.0
Georgia,Non-Metro,Emanuel,0.0,1.0
Georgia,Non-Metro,Fannin,28.0,151.0
Georgia,Non-Metro,Gilmer,62.0,174.0
Georgia,Non-Metro,Glascock,3.0,23.0
Georgia,Non-Metro,Gordon,58.0,230.0
Georgia,Non-Metro,Grady,13.0,50.0
Georgia,Non-Metro,Greene,16.0,76.0
Georgia,Non-Metro,Habersham,19.0,178.0
Georgia,Non-Metro,Hart,56.0,134.0
Georgia,Non-Metro,Irwin,8.0,49.0
Georgia,Non-Metro,Jefferson,22.0,102.0
Georgia,Non-Metro,Laurens,58.0,337.0
Georgia,Non-Metro,Mitchell,32.0,122.0
Georgia,Non-Metro,Montgomery,16.0,46.0
Georgia,Non-Metro,Pierce,25.0,102.0
Georgia,Non-Metro,Polk,6.0,0.0
Georgia,Non-Metro,Polk County Police Department,24.0,306.0
Georgia,Non-Metro,Putnam,31.0,121.0
Georgia,Non-Metro,Rabun,14.0,77.0
Georgia,Non-Metro,Schley,5.0,14.0
Georgia,Non-Metro,Sumter,35.0,145.0
Georgia,Non-Metro,Tattnall,16.0,122.0
Georgia,Non-Metro,Thomas,32.0,310.0
Georgia,Non-Metro,Tift,171.0,484.0
Georgia,Non-Metro,Troup,57.0,397.0
Georgia,Non-Metro,Turner,1.0,39.0
Georgia,Non-Metro,Union,8.0,66.0
