NAME,S1701_C03_001E,S1501_C02_015E,S1901_C01_012E,state,county
"Calhoun County, Georgia",22.7,12.1,55714,13,037
"Camden County, Georgia",15.0,22.4,72399,13,039
"Candler County, Georgia",17.5,13.6,50431,13,043
"Carroll County, Georgia",15.6,22.4,72327,13,045
"Catoosa County, Georgia",8.7,24.5,72425,13,047
"Charlton County, Georgia",22.5,11.4,48534,13,049
"Chatham County, Georgia",14.3,36.8,69575,13,051
"Chattahoochee County, Georgia",16.2,27.6,59221,13,053
"Chattooga County, Georgia",20.1,10.7,47785,13,055
"Cherokee County, Georgia",6.5,39.5,105442,13,057
"Clarke County, Georgia",25.9,48.7,52267,13,059
"Clay County, Georgia",23.0,22.6,48715,13,061
"Clayton County, Georgia",16.8,21.3,58507,13,063
"Clinch County, Georgia",22.9,13.0,55549,13,065
"Cobb County, Georgia",8.5,50.4,98712,13,067
"Coffee County, Georgia",19.8,13.5,50175,13,069
"Colquitt County, Georgia",23.9,15.7,49691,13,071
"Columbia County, Georgia",6.8,37.8,96122,13,073
"Cook County, Georgia",20.5,16.7,50133,13,075
"Coweta County, Georgia",8.2,34.7,94142,13,077
"Crawford County, Georgia",13.3,14.0,60905,13,079
"Crisp County, Georgia",24.1,15.5,42745,13,081
"Dade County, Georgia",8.5,19.0,58936,13,083
"Dawson County, Georgia",9.2,35.8,88986,13,085
"Decatur County, Georgia",24.8,14.6,50485,13,087
"DeKalb County, Georgia",13.5,46.7,77683,13,089
"Dodge County, Georgia",22.2,15.2,50152,13,091
"Dooly County, Georgia",19.7,13.4,56545,13,093
"Dougherty County, Georgia",26.4,23.2,46784,13,095
"Douglas County, Georgia",11.3,30.8,80764,13,097
"Early County, Georgia",21.1,16.1,53750,13,099
"Echols County, Georgia",12.4,14.4,61723,13,101
"Effingham County, Georgia",7.4,26.8,85465,13,103
"Elbert County, Georgia",20.6,14.9,49727,13,105
"Emanuel County, Georgia",24.7,12.8,50053,13,107
"Evans County, Georgia",18.4,15.1,53908,13,109
"Fannin County, Georgia",12.0,22.6,58073,13,111
"Fayette County, Georgia",5.5,48.1,108986,13,113
"Floyd County, Georgia",16.8,24.9,62540,13,115
"Forsyth County, Georgia",4.5,56.6,138000,13,117
"Franklin County, Georgia",20.4,16.9,52264,13,119
"Fulton County, Georgia",12.9,58.0,91490,13,121
"Gilmer County, Georgia",14.7,22.7,72542,13,123
"Glascock County, Georgia",12.2,14.9,55250,13,125
"Glynn County, Georgia",16.3,30.4,68546,13,127
"Gordon County, Georgia",12.9,17.7,61997,13,129
"Grady County, Georgia",20.6,15.3,54312,13,131
"Greene County, Georgia",8.8,36.4,84530,13,133
"Gwinnett County, Georgia",10.5,38.7,84823,13,135
"Habersham County, Georgia",13.6,24.2,65622,13,137
"Hall County, Georgia",12.7,26.7,77430,13,139
"Hancock County, Georgia",31.5,8.4,33182,13,141
"Haralson County, Georgia",15.1,17.4,65016,13,143
"Harris County, Georgia",7.4,34.7,89184,13,145
"Hart County, Georgia",11.5,18.1,57241,13,147
"Heard County, Georgia",18.7,11.4,62907,13,149
"Henry County, Georgia",9.4,28.0,81612,13,151
"Houston County, Georgia",10.1,32.3,80743,13,153
"Irwin County, Georgia",18.1,16.6,53915,13,155
"Jackson County, Georgia",8.3,27.3,85012,13,157
"Jasper County, Georgia",14.0,19.9,59574,13,159
"Jeff Davis County, Georgia",26.6,11.5,40879,13,161
"Jefferson County, Georgia",18.8,11.2,46561,13,163
"Jenkins County, Georgia",23.6,7.8,36906,13,165
"Johnson County, Georgia",17.5,9.1,54183,13,167
"Jones County, Georgia",13.5,18.4,68259,13,169
"Lamar County, Georgia",10.5,19.5,68457,13,171
"Lanier County, Georgia",27.7,19.1,44361,13,173
"Laurens County, Georgia",22.4,17.8,49705,13,175
"Lee County, Georgia",7.0,33.5,88024,13,177
"Liberty County, Georgia",14.5,19.9,59013,13,179
"Lincoln County, Georgia",18.1,16.1,50688,13,181
"Long County, Georgia",16.0,12.8,64747,13,183
"Lowndes County, Georgia",20.3,27.1,55887,13,185
"Lumpkin County, Georgia",15.7,31.5,72388,13,187
"McDuffie County, Georgia",19.0,17.8,54058,13,189
"McIntosh County, Georgia",22.4,18.6,50348,13,191
"Macon County, Georgia",25.5,11.0,37177,13,193
"Madison County, Georgia",18.9,20.2,58784,13,195
"Marion County, Georgia",16.9,13.6,50484,13,197
"Meriwether County, Georgia",19.7,13.0,56458,13,199
"Miller County, Georgia",24.1,21.9,58407,13,201
"Mitchell County, Georgia",25.5,12.9,51908,13,205
"Monroe County, Georgia",11.4,28.7,82863,13,207
"Montgomery County, Georgia",16.4,20.2,51188,13,209
"Morgan County, Georgia",7.4,30.1,85692,13,211
"Murray County, Georgia",13.0,13.7,67880,13,213
"Muscogee County, Georgia",18.8,29.7,56622,13,215
"Newton County, Georgia",12.3,23.6,73732,13,217
"Oconee County, Georgia",6.1,54.9,115925,13,219
"Oglethorpe County, Georgia",11.2,24.5,69784,13,221
"Paulding County, Georgia",6.1,27.4,94557,13,223
"Peach County, Georgia",17.7,24.3,68365,13,225
"Pickens County, Georgia",13.3,24.9,75293,13,227
"Pierce County, Georgia",13.2,18.3,56691,13,229
"Pike County, Georgia",9.6,21.4,84184,13,231
"Polk County, Georgia",19.4,14.5,55308,13,233
"Pulaski County, Georgia",18.3,12.0,47688,13,235
"Putnam County, Georgia",18.6,28.3,64163,13,237
"Quitman County, Georgia",15.5,9.0,36838,13,239
"Rabun County, Georgia",14.8,29.9,61466,13,241
"Randolph County, Georgia",26.8,15.0,25425,13,243
