fips_code,state,county,population,metro_status,poverty_pct,bachelors_pct,median_income,2023_violent_crime,2024_violent_crime,2023_property_crime,2024_property_crime,2023_unemployment_rate,2024_unemployment_rate,_merge
20175,,,,,,,,,,,,2.5,3.0,right_only
20179,,,,,,,,,,,,2.2,2.4,right_only
20181,,,,,,,,,,,,2.4,3.2,right_only
20183,,,,,,,,,,,,2.4,3.0,right_only
20185,,,,,,,,,,,,2.4,2.9,right_only
20187,,,,,,,,,,,,2.6,3.0,right_only
20189,,,,,,,,,,,,2.5,3.8,right_only
20195,,,,,,,,,,,,2.9,3.5,right_only
20199,,,,,,,,,,,,2.9,3.4,right_only
20203,,,,,,,,,,,,2.4,2.8,right_only
20205,,,,,,,,,,,,3.2,4.1,right_only
22003,,,,,,,,,,,,4.2,4.8,right_only
22007,,,,,,,,,,,,4.0,4.3,right_only
22009,,,,,,,,,,,,4.2,4.7,right_only
22037,,,,,,,,,,,,4.0,4.6,right_only
22045,,,,,,,,,,,,4.0,4.5,right_only
22049,,,,,,,,,,,,4.2,5.0,right_only
22059,,,,,,,,,,,,3.2,3.6,right_only
22069,,,,,,,,,,,,4.8,5.4,right_only
22071,,,,,,,,,,,,4.4,4.9,right_only
22077,,,,,,,,,,,,4.1,4.6,right_only
22081,,,,,,,,,,,,4.2,5.0,right_only
22083,,,,,,,,,,,,4.7,5.4,right_only
22085,,,,,,,,,,,,4.1,5.0,right_only
22097,,,,,,,,,,,,4.4,5.0,right_only
22111,,,,,,,,,,,,4.6,5.3,right_only
22115,,,,,,,,,,,,4.2,4.8,right_only
24003,,,,,,,,,,,,2.0,2.8,right_only
24005,,,,,,,,,,,,2.4,3.3,right_only
24009,,,,,,,,,,,,2.0,2.8,right_only
24029,,,,,,,,,,,,2.7,3.6,right_only
24033,,,,,,,,,,,,2.4,3.4,right_only
24039,,,,,,,,,,,,3.1,4.2,right_only
24510,,,,,,,,,,,,3.0,4.3,right_only
25001,,,,,,,,,,,,4.4,4.7,right_only
25003,,,,,,,,,,,,3.7,4.0,right_only
25005,,,,,,,,,,,,4.2,4.6,right_only
25007,,,,,,,,,,,,4.4,4.8,right_only
25009,,,,,,,,,,,,3.5,4.1,right_only
25011,,,,,,,,,,,,3.2,3.6,right_only
25013,,,,,,,,,,,,4.4,5.0,right_only
25015,,,,,,,,,,,,3.3,3.8,right_only
25017,,,,,,,,,,,,3.0,3.5,right_only
25019,,,,,,,,,,,,5.8,6.3,right_only
25021,,,,,,,,,,,,3.1,3.6,right_only
25023,,,,,,,,,,,,3.7,4.1,right_only
25025,,,,,,,,,,,,3.4,3.9,right_only
25027,,,,,,,,,,,,3.6,4.0,right_only
26009,,,,,,,,,,,,5.2,5.6,right_only
26013,,,,,,,,,,,,6.2,7.1,right_only
26015,,,,,,,,,,,,3.9,4.6,right_only
26023,,,,,,,,,,,,3.8,4.1,right_only
26035,,,,,,,,,,,,6.6,7.3,right_only
26043,,,,,,,,,,,,3.9,5.0,right_only
26055,,,,,,,,,,,,3.4,3.9,right_only
26067,,,,,,,,,,,,3.7,4.5,right_only
26071,,,,,,,,,,,,6.5,7.5,right_only
26079,,,,,,,,,,,,5.4,5.6,right_only
26083,,,,,,,,,,,,6.3,6.4,right_only
26085,,,,,,,,,,,,6.2,6.8,right_only
26107,,,,,,,,,,,,5.1,6.1,right_only
26109,,,,,,,,,,,,3.9,4.6,right_only
26115,,,,,,,,,,,,4.2,5.2,right_only
26123,,,,,,,,,,,,4.6,5.1,right_only
26133,,,,,,,,,,,,5.6,6.7,right_only
26145,,,,,,,,,,,,5.2,5.8,right_only
26153,,,,,,,,,,,,7.3,8.0,right_only
26159,,,,,,,,,,,,4.5,5.1,right_only
26165,,,,,,,,,,,,4.7,5.7,right_only
27051,,,,,,,,,,,,3.4,4.0,right_only
27077,,,,,,,,,,,,4.0,4.3,right_only
27133,,,,,,,,,,,,2.1,2.1,right_only
27135,,,,,,,,,,,,2.7,3.5,right_only
28001,,,,,,,,,,,,4.6,4.9,right_only
28005,,,,,,,,,,,,4.0,4.0,right_only
28009,,,,,,,,,,,,3.2,3.0,right_only
28011,,,,,,,,,,,,3.7,3.8,right_only
28015,,,,,,,,,,,,3.4,3.4,right_only
28017,,,,,,,,,,,,4.2,4.1,right_only
28019,,,,,,,,,,,,3.2,3.6,right_only
28021,,,,,,,,,,,,7.2,7.7,right_only
28023,,,,,,,,,,,,3.2,3.4,right_only
28025,,,,,,,,,,,,3.4,4.1,right_only
28029,,,,,,,,,,,,3.4,3.5,right_only
28031,,,,,,,,,,,,2.9,3.0,right_only
28037,,,,,,,,,,,,4.2,4.1,right_only
28041,,,,,,,,,,,,6.1,5.6,right_only
28049,,,,,,,,,,,,3.1,3.2,right_only
28051,,,,,,,,,,,,5.1,5.3,right_only
28053,,,,,,,,,,,,5.0,5.6,right_only
28055,,,,,,,,,,,,7.7,6.6,right_only
28057,,,,,,,,,,,,2.9,2.8,right_only
28059,,,,,,,,,,,,2.9,3.0,right_only
28063,,,,,,,,,,,,9.1,9.2,right_only
28065,,,,,,,,,,,,3.3,3.7,right_only
28067,,,,,,,,,,,,2.6,2.6,right_only
28073,,,,,,,,,,,,2.7,2.8,right_only
28075,,,,,,,,,,,,3.1,3.2,right_only
28077,,,,,,,,,,,,3.7,3.7,right_only
28083,,,,,,,,,,,,4.6,4.9,right_only
28093,,,,,,,,,,,,3.4,3.5,right_only
28097,,,,,,,,,,,,3.4,3.4,right_only
28101,,,,,,,,,,,,3.4,3.3,right_only
28107,,,,,,,,,,,,4.0,4.2,right_only
28109,,,,,,,,,,,,3.1,3.1,right_only
28111,,,,,,,,,,,,3.8,3.9,right_only
28119,,,,,,,,,,,,4.5,4.6,right_only
28121,,,,,,,,,,,,2.3,2.3,right_only
28123,,,,,,,,,,,,2.8,2.9,right_only
28125,,,,,,,,,,,,4.7,4.3,right_only
28127,,,,,,,,,,,,2.9,3.0,right_only
28139,,,,,,,,,,,,2.9,2.8,right_only
28149,,,,,,,,,,,,3.4,3.4,right_only
28151,,,,,,,,,,,,4.4,4.5,right_only
28157,,,,,,,,,,,,5.6,5.4,right_only
28161,,,,,,,,,,,,3.3,3.3,right_only
28163,,,,,,,,,,,,3.5,4.0,right_only
29001,,,,,,,,,,,,3.3,4.2,right_only
29003,,,,,,,,,,,,3.0,3.4,right_only
29005,,,,,,,,,,,,2.5,3.2,right_only
29015,,,,,,,,,,,,4.5,5.3,right_only
29033,,,,,,,,,,,,3.3,4.2,right_only
29035,,,,,,,,,,,,4.4,4.8,right_only
29037,,,,,,,,,,,,3.0,3.4,right_only
29049,,,,,,,,,,,,3.3,3.7,right_only
